iter	Passed	Remaining
641	1578	880
642	1580	877
643	1581	874
644	1583	871
645	1585	868
646	1587	865
647	1588	863
648	1590	860
649	1592	857
650	1595	855
651	1602	855
652	1604	852
653	1607	850
654	1611	848
655	1615	846
656	1617	844
657	1620	842
658	1622	839
659	1625	837
660	1628	835
661	1630	832
662	1633	830
663	1635	827
664	1637	825
665	1640	822
666	1643	820
667	1645	817
668	1647	815
669	1649	812
670	1651	809
671	1653	807
672	1655	804
673	1658	802
674	1660	799
675	1663	797
676	1665	794
677	1667	791
678	1670	789
679	1672	787
680	1674	784
681	1676	781
682	1678	779
683	1680	776
684	1682	773
685	1685	771
686	1687	768
687	1690	766
688	1691	763
689	1694	761
690	1696	758
691	1697	755
692	1699	753
693	1702	750
694	1704	748
695	1706	745
696	1709	743
697	1711	740
698	1713	737
699	1715	735
700	1718	732
701	1720	730
702	1722	727
703	1724	725
704	1726	722
705	1729	720
706	1732	717
707	1736	716
708	1739	713
709	1742	711
710	1744	709
711	1746	706
712	1749	704
713	1751	701
714	1754	699
715	1757	696
716	1759	694
717	1761	691
718	1764	689
719	1767	687
720	1769	684
721	1772	682
722	1775	680
723	1777	677
724	1779	675
725	1782	672
726	1784	669
727	1786	667
728	1789	665
729	1793	663
730	1796	661
731	1799	658
732	1838	669
733	1843	668
734	1848	666
735	1852	664
736	1855	662
737	1859	660
738	1863	658
739	1867	656
740	1870	653
741	1875	652
742	1880	650
743	1884	648
744	1892	647
745	1895	645
746	1898	643
747	1901	640
748	1904	638
749	1906	635
750	1911	633
751	1914	631
752	1917	628
753	1919	626
754	1922	623
755	1925	621
756	1946	624
757	1949	622
758	1953	620
759	1956	617
760	1960	615
761	1964	613
762	1968	611
763	1970	608
764	1974	606
765	1977	604
766	1980	601
767	1983	599
768	1987	597
769	1992	595
770	1995	592
771	1998	590
772	2001	587
773	2004	585
774	2007	582
775	2010	580
776	2013	577
777	2016	575
778	2018	572
779	2022	570
780	2025	567
781	2028	565
782	2031	562
783	2033	560
784	2037	557
785	2040	555
786	2042	552
787	2045	550
788	2048	547
789	2052	545
790	2054	542
791	2057	540
792	2059	537
793	2062	535
794	2065	532
795	2068	530
796	2073	528
797	2076	525
798	2079	523
799	2082	520
800	2085	518
801	2088	515
802	2091	513
803	2093	510
804	2096	507
805	2099	505
806	2102	502
807	2105	500
808	2107	497
809	2111	495
810	2115	492
811	2117	490
812	2120	487
813	2123	485
814	2125	482
815	2128	480
816	2132	477
817	2135	475
818	2137	472
819	2139	469
820	2141	466
821	2144	464
822	2146	461
823	2149	459
824	2152	456
825	2155	453
826	2157	451
827	2159	448
828	2162	445
829	2164	443
830	2166	440
831	2170	438
832	2173	435
833	2177	433
834	2180	430
835	2183	428
836	2186	425
837	2188	423
838	2193	420
839	2196	418
840	2199	415
841	2202	413
842	2204	410
843	2207	408
844	2210	405
845	2212	402
